Geography Code,Geography Name,Sex,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Pakistani","Asian, Asian British or Asian Welsh: Other Asian","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E07000010,Fenland,Male,40,110,205,55,170,240,130,80,210,120,245,190,43170,285,220,85,4285,25,330
E07000011,Huntingdonshire,Female,200,385,835,605,935,820,220,190,590,325,490,570,77435,105,675,60,6080,75,560
E07000011,Huntingdonshire,Male,220,305,945,655,665,945,260,210,630,310,520,620,76650,165,580,70,5290,95,545
E07000012,South Cambridgeshire,Female,195,1105,2125,440,1130,755,165,120,960,290,395,695,65070,265,730,75,7170,180,700
E07000012,South Cambridgeshire,Male,225,850,2080,415,830,675,175,130,870,315,390,675,63915,215,715,100,6030,235,710
E07000026,Allerdale,Female,20,75,50,15,150,30,,,120,40,70,95,47385,25,110,20,760,15,70
E07000026,Allerdale,Male,25,65,50,20,70,30,15,,120,35,65,80,45595,25,135,15,600,25,125
E07000027,Barrow-in-Furness,Female,25,115,115,25,225,100,,,105,35,55,75,32525,10,90,,360,25,65
E07000027,Barrow-in-Furness,Male,30,115,125,30,140,125,,,125,30,60,65,31960,,90,10,350,60,95
E07000028,Carlisle,Female,85,185,220,60,310,135,20,10,175,95,80,140,51975,100,230,40,2000,90,195
E07000028,Carlisle,Male,95,175,210,75,210,140,20,10,170,90,80,140,50025,90,210,40,1795,110,190
E07000029,Copeland,Female,25,70,60,15,135,80,10,,95,35,45,60,32460,,65,,370,25,50
E07000029,Copeland,Male,30,55,60,35,60,60,25,,80,25,55,55,32390,15,95,,295,35,70
E07000030,Eden,Female,25,50,60,10,80,20,10,,55,25,40,55,26165,20,85,,795,,70
E07000030,Eden,Male,50,35,75,10,40,30,15,,80,20,30,65,25725,25,115,20,730,15,60
E07000031,South Lakeland,Female,10,115,90,35,240,55,55,15,205,75,105,160,49735,20,230,35,1965,25,130
E07000031,South Lakeland,Male,20,80,75,30,125,65,50,15,155,80,105,135,48225,15,215,40,1550,35,140
E07000032,Amber Valley,Female,20,155,255,50,175,90,60,25,220,95,305,150,60960,35,230,15,1240,10,140
E07000032,Amber Valley,Male,20,130,245,60,105,90,85,30,245,70,315,140,58975,30,220,25,1040,15,135
E07000033,Bolsover,Female,,80,130,40,135,125,50,30,95,45,115,80,37990,55,105,15,1485,15,95
E07000033,Bolsover,Male,,75,135,45,75,120,60,30,95,55,175,80,36865,40,95,15,1475,30,105
E07000034,Chesterfield,Female,35,175,370,210,245,235,110,60,185,95,295,170,49035,20,195,20,1050,25,150
E07000034,Chesterfield,Male,40,185,310,205,170,210,150,75,180,90,300,185,47355,15,220,20,935,55,190
E07000035,Derbyshire Dales,Female,,60,75,15,90,30,30,15,140,45,75,100,34945,15,175,,690,25,70
E07000035,Derbyshire Dales,Male,,55,85,85,45,25,40,30,150,30,100,85,33380,20,180,,520,25,65
E07000036,Erewash,Female,25,180,455,75,220,185,200,55,270,115,460,175,53065,20,260,30,1490,25,160
E07000036,Erewash,Male,20,140,465,75,135,160,205,65,250,85,520,180,51335,20,270,30,1250,35,210
E07000037,High Peak,Female,,125,75,35,185,60,40,15,190,90,180,170,43665,10,330,,980,10,85
E07000037,High Peak,Male,,95,65,40,65,60,30,20,185,75,170,130,42515,,310,,780,20,105
E07000038,North East Derbyshire,Female,10,130,175,60,180,80,50,30,180,75,215,115,49985,25,150,,705,,80
E07000038,North East Derbyshire,Male,,85,155,50,95,90,60,15,190,65,205,125,47675,20,155,,635,15,85
E07000039,South Derbyshire,Female,15,155,1340,210,280,225,145,50,315,90,400,180,49140,40,230,20,1470,35,325
E07000039,South Derbyshire,Male,15,130,1290,190,215,240,150,50,300,100,385,165,47495,35,205,30,1175,50,330
E07000040,East Devon,Female,100,190,145,15,375,100,45,15,290,105,205,245,73455,55,395,30,2245,35,165
E07000040,East Devon,Male,80,115,130,15,295,100,55,30,335,120,185,240,68555,90,315,25,1680,55,195
E07000041,Exeter,Female,250,1095,795,135,1100,435,70,50,665,245,215,530,55275,40,405,85,4815,360,485
E07000041,Exeter,Male,265,925,795,140,880,460,65,55,640,240,285,485,52820,60,470,100,3965,445,565
E07000042,Mid Devon,Female,10,100,80,,115,30,10,,165,70,100,135,39660,75,165,15,1545,15,100
E07000042,Mid Devon,Male,10,85,90,10,55,35,10,15,155,55,95,130,38040,70,160,35,1310,20,90
E07000043,North Devon,Female,40,105,170,40,240,75,35,35,200,65,130,175,47645,30,195,20,1235,40,110
E07000043,North Devon,Male,50,85,155,50,200,105,45,30,215,70,165,150,45295,25,190,35,960,45,145
E07000044,South Hams,Female,15,100,85,15,150,40,35,,215,55,100,180,43135,40,235,25,1375,30,130
E07000044,South Hams,Male,20,60,90,20,65,30,25,,200,50,110,135,40345,40,225,25,985,115,115
E07000045,Teignbridge,Female,50,155,90,20,285,55,20,10,310,100,155,275,65600,60,270,20,1810,30,150
E07000045,Teignbridge,Male,60,95,100,15,135,80,30,20,255,90,155,220,62335,70,305,20,1175,40,130
E07000046,Torridge,Female,,65,30,,100,15,10,,115,30,75,85,33390,30,155,10,590,,45
E07000046,Torridge,Male,,45,35,,55,20,20,,135,35,70,80,32065,25,135,,520,15,70
E07000047,West Devon,Female,,60,30,,85,40,15,,110,30,55,120,27610,15,140,15,740,20,60
E07000047,West Devon,Male,10,40,40,,55,30,10,20,115,35,55,105,26590,25,130,15,570,25,55
E07000061,Eastbourne,Female,240,330,470,90,860,420,120,75,420,240,325,405,43330,45,555,60,4370,205,595
E07000061,Eastbourne,Male,225,220,440,85,590,465,135,90,390,270,335,415,40135,30,405,75,3335,240,645
E07000062,Hastings,Female,145,205,315,60,625,400,170,75,360,205,390,400,39715,60,400,75,2655,130,465
E07000062,Hastings,Male,195,165,280,65,480,385,135,100,365,200,365,350,37700,65,380,90,2045,200,575
E07000063,Lewes,Female,120,225,260,45,425,225,85,50,400,190,265,395,45745,55,440,35,2505,75,270
E07000063,Lewes,Male,130,150,220,50,270,210,100,55,395,215,270,335,43085,45,370,35,1790,110,270
E07000064,Rother,Female,60,165,225,,335,160,85,30,305,130,215,250,44595,80,430,25,1565,60,175
E07000064,Rother,Male,60,95,200,20,220,185,80,25,265,135,205,200,40765,90,350,25,1065,65,165
E07000065,Wealden,Female,110,275,355,30,520,210,85,35,560,210,275,415,75705,195,570,45,3060,75,285
E07000065,Wealden,Male,135,160,355,50,255,160,110,45,500,180,250,320,71260,205,525,55,2190,85,295
E07000066,Basildon,Female,380,420,1925,420,1040,3385,665,595,570,435,870,615,79065,135,665,130,4410,100,680
E07000066,Basildon,Male,350,315,1930,440,770,3015,615,640,575,455,865,555,74980,100,565,150,3915,140,685
E07000067,Braintree,Female,100,195,415,110,575,650,205,110,460,220,425,440,71155,75,605,25,2970,45,365
E07000067,Braintree,Male,120,170,420,115,345,555,235,130,420,215,420,420,69130,85,480,40,2415,65,340
E07000068,Brentwood,Female,135,305,995,130,475,630,180,105,395,165,300,300,32570,55,570,30,1815,80,345
E07000068,Brentwood,Male,155,205,1020,140,350,535,185,110,415,155,335,305,31125,40,435,45,1505,85,315
E07000069,Castle Point,Female,90,145,275,80,240,420,80,75,200,70,280,185,42825,15,285,15,750,10,185
E07000069,Castle Point,Male,100,120,270,85,150,405,110,85,220,85,230,175,40175,15,245,15,645,20,210
E07000070,Chelmsford,Female,410,645,2440,530,1080,1800,400,285,705,380,685,640,76135,140,890,60,4400,165,690
E07000070,Chelmsford,Male,435,485,2285,595,740,1575,395,300,730,340,665,570,74625,115,645,90,3605,220,620
E07000071,Colchester,Female,385,960,1565,330,1930,2575,480,380,850,465,705,760,78835,90,635,105,5980,360,1050
E07000071,Colchester,Male,385,870,1460,410,1605,2330,485,415,810,515,725,770,76655,85,555,135,4620,370,1060
E07000072,Epping Forest,Female,360,460,2405,960,880,1000,735,275,685,280,745,790,52190,70,905,75,5065,155,1345
E07000072,Epping Forest,Male,340,325,2305,970,665,940,705,275,620,310,735,730,49805,75,750,85,4450,175,1330
E07000073,Harlow,Female,350,425,855,580,655,2060,465,385,320,310,535,370,35055,95,405,90,4145,140,680
E07000073,Harlow,Male,390,395,760,615,535,2095,445,380,305,280,520,420,32935,85,335,105,3955,160,705
E07000074,Maldon,Female,55,70,120,15,135,65,40,20,150,55,115,120,31710,85,250,20,685,,95
E07000074,Maldon,Male,90,55,105,20,75,55,35,20,175,50,115,110,30560,90,185,25,520,,100
E07000075,Rochford,Female,35,140,215,50,205,205,65,45,255,85,220,170,41320,50,245,15,690,15,125
E07000075,Rochford,Male,40,125,220,50,105,200,75,45,240,115,210,140,39020,50,215,15,490,20,135
E07000076,Tendring,Female,55,235,220,45,395,255,165,70,295,180,415,260,71725,40,640,15,1580,30,205
E07000076,Tendring,Male,75,270,245,45,215,200,160,65,310,180,470,280,66880,70,505,20,1185,45,260
E07000077,Uttlesford,Female,80,160,290,60,345,205,90,60,355,140,265,275,41250,65,470,40,2245,30,270
E07000077,Uttlesford,Male,90,115,280,65,235,175,120,65,375,125,230,250,39995,40,375,40,1775,45,250
E07000078,Cheltenham,Female,240,545,995,135,755,435,95,65,580,210,320,420,50015,40,565,75,4635,160,460
E07000078,Cheltenham,Male,240,320,1010,160,525,375,120,85,560,180,320,360,48920,40,465,85,3725,160,440
E07000079,Cotswold,Female,25,140,200,20,300,140,35,30,260,95,150,235,43050,35,320,30,1825,10,160
E07000079,Cotswold,Male,30,95,185,30,165,120,45,35,235,80,135,205,40495,35,315,30,1380,20,135
E07000080,Forest of Dean,Female,,80,70,15,175,50,35,20,165,70,130,125,42015,45,150,30,1110,,145
E07000080,Forest of Dean,Male,15,70,65,20,110,65,50,25,140,65,130,105,40385,60,160,35,875,20,170
E07000081,Gloucester,Female,400,270,2210,565,880,1040,960,370,430,290,1350,470,52165,125,425,130,4105,140,595
E07000081,Gloucester,Male,405,230,2270,595,720,1110,950,395,440,280,1345,410,51155,100,380,165,3715,195,645
E07000082,Stroud,Female,40,155,220,35,300,125,90,40,420,135,275,290,56810,65,365,25,2265,25,185
E07000082,Stroud,Male,55,80,220,30,115,130,95,45,365,125,305,260,55085,60,350,35,1645,55,185
E07000083,Tewkesbury,Female,50,140,395,55,370,175,65,45,280,100,300,205,43925,190,280,40,1955,35,180
E07000083,Tewkesbury,Male,60,90,400,60,305,165,85,60,250,90,290,180,41795,170,260,40,1550,40,205
E07000084,Basingstoke and Deane,Female,235,590,2365,330,2175,1320,310,210,710,325,715,580,76005,110,700,95,5675,165,875
E07000084,Basingstoke and Deane,Male,245,470,2380,380,1800,1195,370,210,745,385,750,515,75565,110,630,140,4805,175,800
E07000085,East Hampshire,Female,90,220,325,105,590,250,60,45,440,140,185,325,58110,140,410,40,2935,40,290
E07000085,East Hampshire,Male,105,145,285,120,380,195,75,35,430,120,180,265,55705,135,335,45,2135,55,255
E07000086,Eastleigh,Female,190,500,1305,175,630,470,70,75,500,245,280,395,61240,100,325,45,2695,95,405
E07000086,Eastleigh,Male,180,365,1330,195,390,480,105,95,580,220,295,300,59000,95,310,55,2215,100,385
E07000087,Fareham,Female,75,315,420,65,315,195,70,50,365,110,155,240,54210,50,275,25,1540,50,200
E07000087,Fareham,Male,70,245,415,55,135,210,110,40,340,120,190,210,52005,55,205,30,1100,60,195
E07000088,Gosport,Female,40,180,150,10,260,225,180,55,180,100,150,170,38620,25,155,15,1115,15,190
E07000088,Gosport,Male,50,135,185,15,145,215,225,90,160,90,165,190,37145,20,155,15,875,35,210
E07000089,Hart,Female,75,325,670,110,690,255,105,40,430,145,195,290,43430,130,420,40,2510,45,350
E07000089,Hart,Male,85,195,645,105,690,260,120,60,490,155,215,315,42985,115,350,40,1935,75,315
E07000090,Havant,Female,90,235,445,40,350,230,75,70,280,180,170,215,59680,35,270,20,1580,60,205
E07000090,Havant,Male,90,190,460,30,180,230,80,60,275,195,180,225,56055,35,215,30,1215,50,195
E07000091,New Forest,Female,85,255,310,35,535,200,75,70,410,165,230,325,84720,220,445,55,2780,35,290
E07000091,New Forest,Male,90,180,270,35,310,200,85,75,390,160,250,285,79125,260,385,60,2065,50,265
E07000092,Rushmoor,Female,140,290,1045,590,5300,720,305,190,410,220,340,350,35175,115,360,45,2890,70,1300
E07000092,Rushmoor,Male,155,215,1060,630,5225,725,350,240,420,190,370,280,35740,75,295,60,2455,110,1295
E07000093,Test Valley,Female,110,385,810,170,765,485,105,125,410,185,235,330,58370,80,340,40,3175,85,405
E07000093,Test Valley,Male,135,290,855,165,590,485,140,120,425,195,215,315,56505,95,270,50,2545,105,385
E07000094,Winchester,Female,135,450,560,100,830,260,90,40,505,160,200,410,57200,185,500,35,3265,90,365
E07000094,Winchester,Male,135,345,545,105,715,240,110,55,605,155,210,340,55105,190,405,50,2370,95,290
E07000095,Broxbourne,Female,150,245,740,170,650,2020,1035,420,375,250,690,720,34860,90,720,80,5630,90,2190
